species;n_files_tot;n_boxes_tot;n_files_nbm;n_boxes_nbm;n_files_xc;n_boxes_xc;AP_birdnet;AP_nbm
Grus grus;26;954;26;954;0;0;0.795;0.763
Erithacus rubecula;102;672;78;576;24;96;0.417;0.333
Fringilla coelebs;48;642;7;29;41;613;0.584;0.542
Melanitta nigra;22;641;2;61;20;580;0.986;0.897
Haematopus ostralegus;21;634;6;466;15;168;0.893;0.888
Turdus philomelos;94;580;74;540;20;40;0.523;0.926
Luscinia megarhynchos;39;569;34;540;5;29;;
Anthus trivialis;68;486;51;446;17;40;0.843;0.843
Burhinus oedicnemus;37;436;30;386;7;50;0.861;0.76
Charadrius hiaticula;60;421;12;128;48;293;0.981;0.997
Motacilla flava;21;413;14;355;7;58;0.866;0.972
Turdus iliacus;104;413;95;387;9;26;0.838;0.946
Rallus aquaticus;57;412;29;310;28;102;0.44;0.723
Branta canadensis;2;405;1;399;1;6;;
Parus major;81;377;1;4;80;373;0.603;0.568
Vanellus vanellus;66;373;65;356;1;17;0.789;0.686
Strix aluco;51;371;46;354;5;17;0.817;0.61
Gallinula chloropus;43;364;41;331;2;33;0.695;0.367
Anas crecca;23;324;5;43;18;281;0.952;0.992
Actitis hypoleucos;84;318;53;227;31;91;0.945;0.88
Ficedula hypoleuca;29;317;29;317;0;0;0.236;0.567
Emberiza hortulana;72;315;40;254;32;61;0.576;0.7
Pluvialis squatarola;49;286;1;1;48;285;0.95;0.828
Coturnix coturnix;24;278;23;271;1;7;1.0;1.0
Athene noctua;21;270;14;209;7;61;0.753;0.376
Fulica atra;32;261;31;243;1;18;0.692;0.636
Branta bernicla;7;257;7;257;0;0;;
Alauda arvensis;62;238;56;226;6;12;0.8;0.99
Clamator glandarius;31;233;0;0;31;233;0.7;0.866
Cyanistes caeruleus;51;213;1;4;50;209;0.956;0.648
Emberiza citrinella;56;195;3;16;53;179;0.796;0.309
Tringa totanus;20;194;11;78;9;116;0.862;1.0
Numenius arquata;26;190;5;17;21;173;0.9;0.579
Linaria cannabina;13;184;0;0;13;184;;
Muscicapa striata;34;176;34;176;0;0;0.614;0.583
Charadrius morinellus;10;167;5;90;5;77;;
Tyto alba;35;163;25;131;10;32;1.0;0.968
Calidris alpina;27;161;19;138;8;23;0.985;0.688
Tringa ochropus;34;155;34;155;0;0;0.991;0.784
Spinus spinus;16;150;1;37;15;113;;
Anas platyrhynchos;12;148;11;128;1;20;;
Ardea cinerea;34;146;28;137;6;9;0.977;0.896
Corvus corone;15;144;9;127;6;17;;
Turdus merula;65;140;45;83;20;57;0.509;0.3
Charadrius dubius;24;136;16;95;8;41;0.8;0.794
Tringa nebularia;15;134;6;49;9;85;;
Tachybaptus ruficollis;24;132;15;77;9;55;0.658;0.37
Pica pica;28;119;3;19;25;100;0.997;0.669
Other;43;117;20;68;23;49;;
Pluvialis apricaria;43;117;42;116;1;1;0.712;0.259
Carduelis carduelis;15;111;1;2;14;109;;
Numenius phaeopus;28;109;14;54;14;55;0.877;0.998
Otus scops;9;103;6;91;3;12;;
Anser anser;14;102;7;59;7;43;;
Turdus torquatus;38;100;6;25;32;75;0.728;0.694
Lullula arborea;18;98;5;37;13;61;;
Anthus pratensis;24;96;17;75;7;21;0.689;0.6
Ixobrychus minutus;56;96;7;16;49;80;0.613;0.733
Turdus pilaris;32;93;3;29;29;64;;
Nycticorax nycticorax;19;85;19;85;0;0;0.996;0.59
Chroicocephalus ridibundus;5;83;5;83;0;0;;
Passer domesticus;17;68;6;32;11;36;;
Cettia cetti;7;63;4;60;3;3;;
Gallinago gallinago;6;45;6;45;0;0;;
Larus michahellis;3;42;0;0;3;42;;
Emberiza schoeniclus;27;40;13;15;14;25;;
Anthus hodgsoni;18;38;0;0;18;38;;
Anthus spinoletta;8;32;0;0;8;32;;
Anthus campestris;20;30;3;7;17;23;;
Cuculus canorus;14;28;4;7;10;21;;
Asio otus;7;26;7;26;0;0;;
Motacilla alba;4;26;2;15;2;11;;
Apus apus;7;25;2;12;5;13;;
Caprimulgus europaeus;6;21;6;21;0;0;;
Chloris chloris;5;20;1;5;4;15;;
Regulus regulus;5;20;4;18;1;2;;
Phasianus colchicus;5;19;3;16;2;3;;
Sitta europaea;3;19;0;0;3;19;;
Coloeus monedula;3;15;2;10;1;5;;
Oriolus oriolus;7;14;0;0;7;14;;
Sturnus vulgaris;4;12;1;8;3;4;;
Anas acuta;3;10;3;10;0;0;;
Larus fuscus;3;10;3;10;0;0;;
Phylloscopus collybita;6;10;1;2;5;8;;
Porzana porzana;3;10;3;10;0;0;;
Botaurus stellaris;4;9;4;9;0;0;;
Coccothraustes coccothraustes;3;9;2;8;1;1;;
Ardea purpurea;2;8;2;8;0;0;;
Dendrocopos major;1;8;0;0;1;8;;
Mareca penelope;1;7;1;7;0;0;;
Scolopax rusticola;1;7;1;7;0;0;;
Sylvia atricapilla;4;7;0;0;4;7;;
Corvus corax;1;6;0;0;1;6;;
Corvus frugilegus;2;6;1;5;1;1;;
Himantopus himantopus;1;6;1;6;0;0;;
Larus argentatus;1;6;0;0;1;6;;
Motacilla cinerea;1;6;0;0;1;6;;
Regulus ignicapilla;3;6;2;5;1;1;;
Turdus viscivorus;3;6;3;6;0;0;;
Tringa glareola;3;5;3;5;0;0;;
Garrulus glandarius;1;4;0;0;1;4;;
Lophophanes cristatus;2;4;0;0;2;4;;
Prunella modularis;2;4;0;0;2;4;;
Pyrrhula pyrrhula;1;4;0;0;1;4;;
Recurvirostra avosetta;2;4;2;4;0;0;;
Serinus serinus;1;4;0;0;1;4;;
Tringa erythropus;1;4;1;4;0;0;;
Troglodytes troglodytes;3;4;0;0;3;4;;
Bubo bubo;1;2;1;2;0;0;;
Fringilla montifringilla;2;2;1;1;1;1;;
Mareca strepera;1;2;1;2;0;0;;
Melanitta fusca;1;2;0;0;1;2;;
Phoenicurus ochruros;1;2;1;2;0;0;;
Tetrax tetrax;1;2;1;2;0;0;;
Certhia brachydactyla;1;1;0;0;1;1;;
Ichthyaetus melanocephalus;1;1;1;1;0;0;;
Loxia curvirostra;1;1;1;1;0;0;;
Acanthis cabaret;0;0;0;0;0;0;;
Aegithalos caudatus;0;0;0;0;0;0;;
Aegolius funereus;0;0;0;0;0;0;;
Anser albifrons;0;0;0;0;0;0;;
Anthus cervinus;0;0;0;0;0;0;;
Arenaria interpres;0;0;0;0;0;0;;
Branta leucopsis;0;0;0;0;0;0;;
Calcarius lapponicus;0;0;0;0;0;0;;
Calidris alba;0;0;0;0;0;0;;
Calidris canutus;0;0;0;0;0;0;;
Calidris ferruginea;0;0;0;0;0;0;;
Calidris minuta;0;0;0;0;0;0;;
Calidris temminckii;0;0;0;0;0;0;;
Chlidonias hybrida;0;0;0;0;0;0;;
Chlidonias niger;0;0;0;0;0;0;;
Egretta garzetta;0;0;0;0;0;0;;
Emberiza calandra;0;0;0;0;0;0;;
Emberiza pusilla;0;0;0;0;0;0;;
Glaucidium passerinum;0;0;0;0;0;0;;
Hydroprogne caspia;0;0;0;0;0;0;;
Larus canus;0;0;0;0;0;0;;
Limosa lapponica;0;0;0;0;0;0;;
Limosa limosa;0;0;0;0;0;0;;
Non bird sound;0;0;0;0;0;0;;
Pernis apivorus;0;0;0;0;0;0;;
Phoenicopterus roseus;0;0;0;0;0;0;;
Plectrophenax nivalis;0;0;0;0;0;0;;
Porzana pusilla;0;0;0;0;0;0;;
Spatula clypeata;0;0;0;0;0;0;;
Spatula querquedula;0;0;0;0;0;0;;
Sterna hirundo;0;0;0;0;0;0;;
Tadorna tadorna;0;0;0;0;0;0;;
Thalasseus sandvicensis;0;0;0;0;0;0;;
Tringa stagnatilis;0;0;0;0;0;0;;
